origWdId,origName,wpPage,stintType,timePeriod,teamName,teamWP,matchesPlayed,pointsScored
Q599563,Jim Calder,Jim_Calder_(rugby_union),Amateur team(s),-,Stewart's Melville,/wiki/Stewart%27s_Melville_RFC,,
Q602404,Teddy Morgan,Teddy_Morgan,Amateur team(s),1901–1903,Newport RFC,/wiki/Newport_RFC,2,13
Q602404,Teddy Morgan,Teddy_Morgan,Amateur team(s),,Guy's Hospital,"/wiki/Guy%27s,_Kings_and_St._Thomas%27_Rugby_Football_Club",,
Q602404,Teddy Morgan,Teddy_Morgan,Amateur team(s),1900–?,London Welsh RFC,/wiki/London_Welsh_RFC,,
Q602404,Teddy Morgan,Teddy_Morgan,Amateur team(s),,Swansea RFC,/wiki/Swansea_RFC,,
Q602404,Teddy Morgan,Teddy_Morgan,Amateur team(s),1906,Glamorgan County RFC,/wiki/Glamorgan_County_RFC,,
Q606698,Stephen Fry,Stephen_Fry_(rugby_union),Amateur team(s),,Somerset West RFC,,,
Q606698,Stephen Fry,Stephen_Fry_(rugby_union),Amateur team(s),–,Villager Football Club,/wiki/Villager_Football_Club,,
Q610400,Theuns Kotzé,Theuns_Kotz%C3%A9,Amateur team(s),2008–2010,NWU Pukke,/wiki/North-West_University,16,96
Q610400,Theuns Kotzé,Theuns_Kotz%C3%A9,Amateur team(s),2011–2012,University of Johannesburg,/wiki/University_of_Johannesburg#Sport,15,107
Q610400,Theuns Kotzé,Theuns_Kotz%C3%A9,Amateur team(s),2013,Durbanville-Bellville,,3,29
Q610400,Theuns Kotzé,Theuns_Kotz%C3%A9,Youth career,2005,Griquas,/wiki/Griquas_(rugby_union),,
Q610400,Theuns Kotzé,Theuns_Kotz%C3%A9,Youth career,2006–2008,Leopards,/wiki/Leopards_(rugby_union),,
Q611049,Austin Healey,Austin_Healey,Amateur team(s),1990–1994,Birkenhead Park FC Waterloo,,,
Q611049,Austin Healey,Austin_Healey,Amateur team(s),2006,Bishop's Stortford,,,
Q614928,Cliff Morgan,Cliff_Morgan,Amateur team(s),1949–1958,Cardiff RFC,/wiki/Cardiff_RFC,,
Q614928,Cliff Morgan,Cliff_Morgan,Amateur team(s),1955–1956,Bective Rangers,/wiki/Bective_Rangers,,
Q614928,Cliff Morgan,Cliff_Morgan,Amateur team(s),1950–1958,Barbarians,/wiki/Barbarian_F.C.,,
