"rugbyscopeId","fullName","countries","before","after"
89,"Tarbes Pyrénées Rugby","France","Amateur","Senior"
125,"Stade Aurillacois Cantal Auvergne","France","Amateur","Senior"
126,"Stade Rochelais","France","Amateur","Senior"
129,"FC Auch Gers","France","Amateur","Senior"
152,"Biarritz Olympique","France","Amateur","Senior"
155,"Blagnac SCR","France","Amateur","Senior"
182,"CA Périgueux","France","Amateur","Senior"
189,"Castres Olympique","France","Amateur","Senior"
196,"CA Bordeaux-Bègles Gironde","France","Amateur","Senior"
197,"CA Brive","France","Amateur","Senior"
199,"CS Bourgoin-Jallieu","France","Amateur","Senior"
