"origWdId","origName","esName","wpPage","startYear","endYear","teamName","teamWP","matchesPlayed","pointsScored"
"Q285739","Valentin Ursache","Valentin Ursache","Valentin_Ursache","2012",NA,"Oyonnax","Oyonnax_Rugby",NA,NA
"Q286258","Yannick Jauzion","Yannick Jauzion","Yannick_Jauzion",NA,NA,"Francia","Selecci%C3%B3n_de_rugby_de_Francia","73",NA
"Q286258","Yannick Jauzion","Yannick Jauzion","Yannick_Jauzion","1997","2000","SC graulhetois",NA,NA,NA
"Q286258","Yannick Jauzion","Yannick Jauzion","Yannick_Jauzion","2000","2002","US Colomiers","Colomiers_Rugby",NA,NA
"Q286258","Yannick Jauzion","Yannick Jauzion","Yannick_Jauzion","2002","2013","Stade Toulousain","Stade_Toulousain",NA,NA
"Q287936","Joe Launchbury","Joe Launchbury","Joe_Launchbury",NA,NA,"Inglaterra","Selecci%C3%B3n_de_rugby_de_Inglaterra","70","25"
"Q287936","Joe Launchbury","Joe Launchbury","Joe_Launchbury","2009","2010","Worthing RFC",NA,NA,NA
"Q287936","Joe Launchbury","Joe Launchbury","Joe_Launchbury","2010","2022","London Wasps","Wasps_RFC",NA,NA
"Q287936","Joe Launchbury","Joe Launchbury","Joe_Launchbury","2010","2011","→ Rosslyn Park F.C.",NA,NA,NA
"Q287936","Joe Launchbury","Joe Launchbury","Joe_Launchbury","2022","2023","Toyota Verblitz",NA,NA,NA
"Q287936","Joe Launchbury","Joe Launchbury","Joe_Launchbury","2023",NA,"Harlequins FC","Harlequins_FC",NA,NA
"Q289223","Jerry Collins","Jerry Collins","Jerry_Collins",NA,NA,"Nueva Zelanda","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","48",NA
"Q289223","Jerry Collins","Jerry Collins","Jerry_Collins","1999","2007","Wellington RFU",NA,NA,NA
"Q289223","Jerry Collins","Jerry Collins","Jerry_Collins","2001","2008","Hurricanes","Hurricanes_(rugby)",NA,NA
"Q289223","Jerry Collins","Jerry Collins","Jerry_Collins","2008","2009","RC Toulon","Rugby_Club_Toulonnais",NA,NA
"Q289223","Jerry Collins","Jerry Collins","Jerry_Collins","2009","2011","Ospreys Rugby","Ospreys",NA,NA
"Q289223","Jerry Collins","Jerry Collins","Jerry_Collins","2011","2013","Yamaha Júbilo",NA,NA,NA
"Q289223","Jerry Collins","Jerry Collins","Jerry_Collins","2015",NA,"RC Narbonne",NA,NA,NA
"Q301081","Jamie Salmon","Jamie Salmon","Jamie_Salmon",NA,NA,"Inglaterra","Selecci%C3%B3n_de_rugby_de_Inglaterra","15",NA
"Q301081","Jamie Salmon","Jamie Salmon","Jamie_Salmon","1978","1980","Blackheath F.C.",NA,NA,NA
"Q301081","Jamie Salmon","Jamie Salmon","Jamie_Salmon","1980","1983","Wellington Rugby FU","Wellington_Lions",NA,NA
"Q301081","Jamie Salmon","Jamie Salmon","Jamie_Salmon","1984","1990","Harlequins FC","Harlequins_FC",NA,NA
"Q302330","Aaron Mauger","Aaron Mauger","Aaron_Mauger",NA,NA,"Nueva Zelanda","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","46",NA
"Q302330","Aaron Mauger","Aaron Mauger","Aaron_Mauger","1999","2007","Canterbury RFU","Canterbury_(rugby)",NA,NA
"Q302330","Aaron Mauger","Aaron Mauger","Aaron_Mauger","2000","2007","Crusaders","Crusaders",NA,NA
"Q302330","Aaron Mauger","Aaron Mauger","Aaron_Mauger","2007","2010","Leicester Tigers","Leicester_Tigers",NA,NA
"Q318920","Jonny Wilkinson","Jonny Wilkinson","Jonny_Wilkinson",NA,NA,"Inglaterra","Selecci%C3%B3n_de_rugby_de_Inglaterra","91",NA
"Q318920","Jonny Wilkinson","Jonny Wilkinson","Jonny_Wilkinson","1997","2009","Newcastle","Newcastle_Falcons",NA,NA
"Q318920","Jonny Wilkinson","Jonny Wilkinson","Jonny_Wilkinson","2009","2014","RC Toulon","Rugby_Club_Toulonnais",NA,NA
"Q325033","Jannie du Plessis","Jannie du Plessis","Jannie_du_Plessis",NA,NA,"Sudáfrica","Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica","70","5"
"Q325033","Jannie du Plessis","Jannie du Plessis","Jannie_du_Plessis","2006","2007","Cheetahs","Cheetahs",NA,NA
"Q325033","Jannie du Plessis","Jannie du Plessis","Jannie_du_Plessis","2008","2015","Natal Sharks","Natal_Sharks",NA,NA
"Q325033","Jannie du Plessis","Jannie du Plessis","Jannie_du_Plessis","2015","2020","Montpellier","Montpellier_H%C3%A9rault_Rugby",NA,NA
