"rugbyscopeId","altNames","teamWP","fusionName"
118,"british and irish lions; lions; british & irish lions; british lions; british isles; anglo-welsh; british isles xv; british lions xv; the lions; combined british; anglo welsh","British_%26_Irish_Lions","British & Irish Lions"
118,"British Lions",NA,"British & Irish Lions"
118,"British & Irish Lions",NA,"British & Irish Lions"
119,"ul bohemians; bohemians; UL Bohemians","UL_Bohemians_R.F.C.","UL Bohemians R.F.C."
120,"Edinburgh Rugby; edinburgh rugby; edinburgh; edinburgh 'a'; edinburgh reivers","Edinburgh_Rugby","Edinburgh Rugby"
120,"Edinburgh U-18",NA,"Edinburgh Rugby"
121,"natal; sharks xv; sharks; natal duikers; natal wildebeest; coastal sharks; natal sharks; sharks invitational xv; natal/sharks; sharks academy; Durban Sharks; Sharks; Sharks(Academy); Sharks U19; Sharks U21; Natal Sharks; Sharks Academy","Sharks_(rugby_union)","Sharks"
121,"sharks academy",NA,"Sharks"
122,"gloucester rugby; gloucester; gloucester rfc; gloucester academy; Gloucester; Gloucester Academy; Gloucester Rugby","Gloucester_Rugby","Gloucester Rugby"
123,"prato; i cavalieri prato; cavalieri; cavalieri prato; rugby club i cavalieri prato; i cavalieri; Cavalieri Prato; I Cavalieri Prato","Rugby_Club_I_Cavalieri_Prato","Rugby Club I Cavalieri"
123,"rugby prato",NA,"Rugby Club I Cavalieri"
123,"rugby club cavalieri i prato",NA,"Rugby Club I Cavalieri"
123,"Rugby Club I Cavalieri Prato",NA,"Rugby Club I Cavalieri"
124,"all blacks xv; new zealand a; junior all blacks; new zealand xv; new zealand juniors","All_Blacks_XV","New Zealand A national rugby union team"
124,"Junior All Blacks",NA,"New Zealand A national rugby union team"
124,"nz juniors",NA,"New Zealand A national rugby union team"
124,"nz emerging players",NA,"New Zealand A national rugby union team"
125,"aurillac; stade aurillacois; Aurillac; Stade Aurillacois","Stade_Aurillacois_Cantal_Auvergne","Stade Aurillacois Cantal Auvergne"
126,"la rochelle; stade rochelais; La Rochelle; stade la rochelle; Stade Rochelais","Stade_Rochelais","Stade Rochelais"
127,"gds cascais","Grupo_Dram%C3%A1tico_e_Sportivo_Cascais","Grupo Dramático e Sportivo Cascais"
128,"canada","Canada_national_rugby_union_team","Canada national rugby union team"
129,"auch; auch gers; fc auch gers; fc auch; Auch","FC_Auch_Gers","FC Auch Gers"
131,"central coast waves","Central_Coast_Waves","Central Coast Waves"
133,"ayr; ayr rfc; ayrshire bulls; Ayr RFC; Ayr","Ayr_RFC","Ayr RFC"
134,"canada u20; canada u20s; canada under-20","Canada_national_under-20_rugby_union_team","Canada national under-20 rugby union team"
135,"stormers; western province; w. province; w province; western province rugby team; Western Province; Western Province Academy; Western Province U21; Western Province U19","Stormers","Stormers"
136,"barbarian f.c.; barbarians; barbarians fc; barbarian fc; barbarians f.c.; Barbarians; barbarian f. c.; Barbarian F.C.","Barbarian_F.C.","Barbarian FC"
136,"barbarians rfc",NA,"Barbarian FC"
136,"Barbarian FC",NA,"Barbarian FC"
136,"barbarians f.c",NA,"Barbarian FC"
137,"basque korsarioak","Basque_Korsarioak","Basque Korsarioak"
138,"bath rugby; Bath Rugby; bath united; bath fc","Bath_Rugby","Bath Rugby"
138,"bath academy",NA,"Bath Rugby"
138,"Bath United",NA,"Bath Rugby"
138,"Bath Academy",NA,"Bath Rugby"
139,"bedwas; bedwas rfc; Bedwas RFC","Bedwas_RFC","Bedwas RFC"
139,"bedwas rugby club",NA,"Bedwas RFC"
141,"hrc","Hamburger_RC","Hamburger RC"
142,"germania","SC_Germania_List","SC Germania List"
143,"wales; Wales","Wales_national_rugby_union_team","Wales national rugby union team"
